ods_code,name,alt_names,predecessor_codes,merger_date,region,correspondent,url,url_root,cluster_id,cluster_meeting_url,notes,access_notes,needs_playwright,pack_pattern_hints,exclude_patterns,last_validated,validation_status,validation_notes
QGH,Herefordshire and Worcestershire ICB,,,,Midlands,,https://herefordshireandworcestershire.icb.nhs.uk/meetings/board-papers,https://www.hwics.org.uk,CW-HW,https://www.happyhealthylives.uk/integrated-care-board/about-us/icb-board-meetings/,Joint Board Meeting in Common with Coventry and Warwickshire (QWU); papers hosted on both happyhealthylives.uk and hwics.org.uk,"Landing directly renders the current meeting's full pack (agenda, CEO report, finance, BAF, etc.) with 'Past Board Papers' and 'Past meetings' archive links in the nav. No JS gating; crawler reads PDF links straight from the page.",False,Agenda 00 Public Board;CEO report;Financial Plan & Delivery;Risk Corp Objectives & BAF;dated meeting,ICS not ICB references;committee escalation-only,2026-06-20,papers_found,Landing directly renders the current pack (9 files for 20 May 2026) with 'Past Board Papers' archive links. No JS gating. False positive.
QJ2,Derby and Derbyshire ICB,,,,Midlands,,https://joinedupcarederbyshire.co.uk/derbyshire-integrated-care-board/integrated-care-board-meeting-papers/,https://www.derbyandderbyshireicb.nhs.uk,DLN,https://notts.icb.nhs.uk/about-us/our-icb-board/,DLN cluster (Derby + Lincs + Notts) holds joint Boards in Common; cluster papers hosted on notts.icb.nhs.uk,"joinedupcarederbyshire.co.uk IS the current, correct Derby & Derbyshire ICB site (confirmed live, 2026 content). The flagged URL (/integrated-care-board-meetings/) is the schedule/dates page and only links one stray PDF, hence 'no papers visible'. The actual papers archive is the SIBLING page /derbyshire-integrated-care-board/integrated-care-board-meeting-papers/ (title 'Integrated Care Board meeting papers'), which lists every meeting 2020-2026 with download links. Papers are served via WordPress Download Manager pretty-URLs of the form /download/<slug>/ that 302-redirect to the actual PDF on the same domain. Static-fetchable. Since the DLN cluster (Derbyshire/Lincolnshire/Nottinghamshire) formed, recent packs are joint 'DLN ICB Board'/'Board meeting in common' documents, these ARE the Derbyshire ICB board papers (each ICB remains a separate legal entity and publishes the same pack on its own site). Crawler: index the meeting-papers page and follow /download/<slug>/ links. Prefer the 'DLN ICB Board Papers <date>' pack. Exclude ICP and committee-minutes links.",False,/download/;dln-icb-board-papers;ddicb-board-meeting-in-public-meeting-pack;icb-board-agenda;DLN-ICB-Board;wpdmdl=,partnership;icp;committee-minutes;ratified-minutes,2026-06-06,papers_found,Sibling 'meeting-papers' page lists full 2025-2026 DLN/DDICB board packs via /download/ redirects to PDFs on the same domain.
QJM,Lincolnshire ICB,,,,Midlands,,https://lincolnshire.icb.nhs.uk/about-us/our-board-and-committees/icb-board-meetings/,https://lincolnshire.icb.nhs.uk,DLN,https://notts.icb.nhs.uk/about-us/our-icb-board/,DLN cluster; transformation fund page at https://lincolnshire.icb.nhs.uk/transformation-fund — note the April 2026 walk-back text,Strategy: landing surfaces board papers directly (mix of dated PDFs and/or year links). Static fetch works. Prefer the main combined board pack; filter observer notes and Q&A. Pattern A/B.,False,Public Board Pack;Board Papers;Agenda and Papers,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=1, meeting_subpages=6."
QT1,Nottingham and Nottinghamshire ICB,,,,Midlands,,https://notts.icb.nhs.uk/about-us/our-icb-board/,https://notts.icb.nhs.uk,DLN,https://notts.icb.nhs.uk/about-us/our-icb-board/,DLN cluster; hosts joint board pack PDFs at /wp-content/uploads/sites/2/,"This is the correct, fully-populated Nottingham & Nottinghamshire ICB Board page (title 'Our Board - NHS Nottingham and Nottinghamshire ICB'). Static-fetchable; lists every 2025-2026 meeting with direct 'Agenda and Papers' PDF links hosted on the same domain at /wp-content/uploads/sites/2/<yyyy>/<mm>/...pdf. The validator saw only 1 dated PDF likely due to lazy-loaded accordions, but a full fetch reveals the complete index (21 May 2026, 19 Mar 2026, 15 Jan 2026, 20 Nov 2025, 10 Sep 2025, 9 Jul 2025, 14 May 2025). Recent packs are named 'DLN-ICB-Board-<date>.pdf' reflecting the Derbyshire/Lincolnshire/Nottinghamshire cluster 'board meeting in common'; these are the Notts ICB board papers. Crawler: fetch this page and harvest the /wp-content/uploads/.../*.pdf links; prefer the 'DLN-ICB-Board-papers-<date>.pdf'/'ICB-Board-<date>.pdf' pack and the 'Cluster-Board-Meeting-Summary' for the readout. Exclude ICP and committee links.",False,/wp-content/uploads/sites/2/;DLN-ICB-Board;NNICB-Board;ICB-Board-;ICB-Public-Board-papers;Cluster-Board-Meeting-Summary,partnership;icp;committee;healthandcarenotts.co.uk,2026-06-06,papers_found,Page is a full board-papers index with direct dated PDF links for all 2025-2026 meetings on the same domain.
QK1,"Leicester, Leicestershire and Rutland ICB",LLR ICB,,,Midlands,,https://leicesterleicestershireandrutland.icb.nhs.uk/about/board-meetings/,https://leicesterleicestershireandrutland.icb.nhs.uk,LNR,https://leicesterleicestershireandrutland.icb.nhs.uk/about-us/our-board/board-meeting-papers/,LNR cluster Board in Common with Northamptonshire (QPM),,,,,,,
QPM,Northamptonshire ICB,,,,Midlands,,https://www.icnorthamptonshire.org.uk/documents?media_folder=2078&root_folder=Public%20Board%20and%20Committee%20Meeting%20papers%20-%20ICB,https://www.icnorthamptonshire.org.uk,LNR,https://leicesterleicestershireandrutland.icb.nhs.uk/about-us/our-board/board-meeting-papers/,LNR cluster Board in Common with LLR (QK1),"Pattern B/F: the configured /icbboardmeetings landing only lists upcoming meeting dates and event sub-pages with no published PDFs ('Papers will be available nearer the date'), so the working URL is the document-library 'Public Board and Committee Meeting papers - ICB' repository on the ICB's own domain. It exposes per-year folders (ICB Board papers 2022/2023/2024/2025/2026); the 2026 folder (media_folder=2899) holds dated combined PDFs. NOTE: these are joint 'LLR ICB & NICB Board meeting in common' packs for the Leicester-Northamptonshire-Rutland (LNR) cluster, legitimately hosted on Northamptonshire ICB's own domain (icnorthamptonshire.org.uk) via download.cfm links. Take the largest combined PUBLIC papers PDF per meeting and filter the repository to the ICB Board year folders, not committee papers.",False,LLR & NICB Board meeting in Common;Board meetings in common PUBLIC papers;download.cfm?doc=;ICB Board papers 2026;media_folder=2899,Committee;ICP Board;Audit;Remuneration;Finance Committee;Quality Committee,2026-06-04,papers_found,"Document-library ICB Board year folders list dated joint LLR & NICB board-in-common public papers for Feb, Mar and Apr 2026."
QOC,"Shropshire, Telford and Wrekin ICB",STW ICB,,,Midlands,,https://www.shropshiretelfordandwrekin.nhs.uk/about-us/how-we-are-run/meetings-committees-and-events/governing-body-meetings/previous-board-meetings/,https://www.shropshiretelfordandwrekin.nhs.uk,STW-SSOT,https://www.shropshiretelfordandwrekin.nhs.uk/about-us/how-we-are-run/meetings-committees-and-events/governing-body-meetings/,Joint Board in Common with Staffs and Stoke-on-Trent (QNC),"Pattern A/F: the configured governing-body-meetings landing only shows the forward meeting schedule with no PDFs, so the working URL is its 'Previous Board Meetings' child page, which lists every past meeting by date with directly-linked Agenda Papers (plus separate Appendices and Public Questions PDFs) on the ICB's own domain. NOTE: from 2026 these are joint 'NHS STW & SSOT Board in Common' / 'Integrated Care Board' packs covering the Shropshire-Telford-Wrekin and Staffordshire-Stoke (STW-SSOT) cluster, hosted on STW ICB's own domain (a few older 2025 files sit on the partner shroandtel.co.uk domain). Take the largest combined Agenda Papers PDF and pair it with the Appendices pack for the same date; skip standalone Public Questions and committee files.",False,NHS-STW-SSOT-Board-in-Common-Agenda-Papers;NHS-STW-Integrated-Care-Board-Agenda-Papers;Combined-Papers_STW-Board;Appendices-Pack;wp-content/uploads/,Public-Questions;questions-from-members-of-public;Committee;ICP;Appendices (when a combined pack exists),2026-06-04,papers_found,Previous Board Meetings page lists dated ICB Board / Board-in-Common agenda paper PDFs through April 2026 with recordings.
QNC,Staffordshire and Stoke-on-Trent ICB,SSOT ICB,,,Midlands,,https://staffsstoke.icb.nhs.uk/your-nhs-integrated-care-board/our-publications/board-papers/,https://staffsstoke.icb.nhs.uk,STW-SSOT,https://www.shropshiretelfordandwrekin.nhs.uk/about-us/how-we-are-run/meetings-committees-and-events/governing-body-meetings/,"Joint Board in Common with Shropshire, Telford and Wrekin (QOC)","Pattern B + C: the board-papers landing is a static document library exposing year folders (/board-papers/2025/, /board-papers/2026/). Each year folder lists month sub-folders (e.g. /2025/november-2025/), and each month folder contains a single combined ICB Board pack file accessed via a '...?layout=file' download URL (e.g. .../november-2025/icb-board-meeting-papers-20-november-2025/?layout=file -> 'COMBINED PAPERS ICB Board Meeting ... PUBLIC Session.pdf', ~6 MB). Crawl: year folder -> month folder -> pick the item titled 'ICB Board Meeting Papers <date>' and append ?layout=file. Month folders also contain unrelated items (Easy Read letters, event flyers), so prefer the combined ICB Board papers item only; this is the ICB Board collection, separate from Board briefings and committee collections.",False,/board-papers/YYYY/ -> month sub-folder;/board-papers/YYYY/<month>-YYYY/icb-board-meeting-papers-<date>/?layout=file;title 'ICB Board Meeting Papers <date>' = combined COMBINED PAPERS PUBLIC Session PDF,Board briefings;Committee;Easy Read Letter;event;Clinical Professional Leadership,2026-06-04,papers_found,Year->month folder structure confirmed; November 2025 month folder yields one combined ICB Board papers PDF (~6.44 MB) via the ?layout=file URL.
S1Y5D,Central East ICB,,QHG;QUE;QM7,2026-04-01,East of England,,https://www.hertsandwestessex.ics.nhs.uk/documents/?location=all&type=board-papers&cat=all&date=,https://www.centraleast.icb.nhs.uk,,,"Formed 1 April 2026 from merger of Bedfordshire, Luton and Milton Keynes (QHG, bedfordshirelutonandmiltonkeynes.icb.nhs.uk), Cambridgeshire and Peterborough (QUE, cpics.org.uk), and Hertfordshire and West Essex (QM7, hertsandwestessex.ics.nhs.uk). Predecessor sites still host historical packs.","Pattern C/F: the configured /about/icb/board/ landing only links to members and a meetings-in-public overview with no dated PDFs, so the working URL is the board-papers document archive (type=board-papers), which lists one per-meeting document page per ICB Board meeting in public on the org's own domain. Each per-meeting page (slug 'papers-for-the-integrated-care-board-meeting-in-public-<weekday>-<date>') holds that meeting's pack. NOTE: this org is recorded under the new Central East ICB ODS code (S1Y5D) but still publishes on its legacy Herts and West Essex ICS domain (hertsandwestessex.ics.nhs.uk); the board moved from bi-monthly to quarterly from April 2025, so meetings are sparse (latest 6 Feb 2026). Use the per-meeting document page as the meeting URL and take the combined board pack; exclude Primary Care Transformation Committee papers.",False,papers-for-the-integrated-care-board-meeting-in-public;/documents/;ICB Board category,Primary Care Transformation;Committee;ICP;AGM,2026-06-04,papers_found,Board-papers archive lists dated ICB-Board-categorised meeting packs through 6 February 2026 on the org's own domain.
D7T5G,Essex ICB,NHS Essex,QH8;QJG,2026-04-01,East of England,,https://www.essex.icb.nhs.uk/about/board/,https://www.essex.icb.nhs.uk,,,"Formed 1 April 2026 from Mid and South Essex (QH8, midandsouthessex.ics.nhs.uk) plus the North East Essex part of former Suffolk and North East Essex (QJG, suffolkandnortheastessex.icb.nhs.uk). Predecessor sites still host historical packs.","URL corrected from /publications/ to /about/board/ ('Integrated Care Board Meetings'), which routes to an events calendar (/events/category/board-and-committee-meetings/, dated meetings e.g. 16 Jul 2026) and a JS-filtered papers archive (/publications/?_publication_type=icb-board-meeting-papers). PDFs render only once the filter runs; needs Playwright.",True,ICB Board Meeting Papers;Essex ICB Board meeting;dated meeting,standalone policy documents;committee-only papers;ICP not ICB,2026-06-20,needs_playwright,"Old /publications/ was the generic publications archive (policies only, no board papers - the false-positive cause). Correct landing is /about/board/ which routes to dated meetings + a JS-filtered board-papers archive."
T6Y0W,Norfolk and Suffolk ICB,,QMM;QJG,2026-04-01,East of England,,https://www.norfolkandsuffolk.icb.nhs.uk/about/governance/board-meetings/,https://www.norfolkandsuffolk.icb.nhs.uk,,,"Formed 1 April 2026 from Norfolk and Waveney (QMM, improvinglivesnw.org.uk) plus the Suffolk parts of former Suffolk and North East Essex (QJG, suffolkandnortheastessex.icb.nhs.uk). Predecessor sites still host historical packs.",Strategy: landing surfaces board papers directly (mix of dated PDFs and/or year links). Static fetch works. Prefer the main combined board pack; filter observer notes and Q&A. Pattern A/B.,False,Public Board Pack;Board Papers;Agenda and Papers,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=0, meeting_subpages=8."
QMF,North East London ICB,NEL ICB,,,London,,https://northeastlondon.icb.nhs.uk/about-us/about-nhs-north-east-london/our-board/board-meetings-and-papers/,https://northeastlondon.icb.nhs.uk,,,Single combined papers pack per board meeting,"Landing lists dated ICB board meetings; each meeting date IS the link to its pack ('click on the date to download the board papers'), published 5 working days before. Crawler follows landing -> dated meeting link -> PDF pack. Static fetch works.",False,North East London ICB Board Meeting;click on the date to download the board papers,committee meetings;future meetings with no papers yet,2026-06-20,papers_found,Board meetings page live with dated 2025/2026 meetings; papers download via the date links ('click on the date to download the board papers'). False-positive partial flag.
QKK,South East London ICB,SEL ICB,,,London,,https://www.selondonics.org/icb/meetings-board-papers-reports/icb-meetings/,https://www.selondonics.org,,,"Six borough place committees (Lambeth, Southwark, Lewisham, Greenwich, Bromley, Bexley) publish separately",,,,,,,
QWE,South West London ICB,SWL ICB,,,London,,https://www.southwestlondon.icb.nhs.uk/publications/,https://www.southwestlondon.icb.nhs.uk,,,,"Strategy: landing lists year archives (3 year links this run, e.g. 'Board papers 2025'). Follow each year link to dated PDF listings; main packs typically 5-30MB. Static fetch works. Pattern B.",False,Board Papers;Public Board Pack,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=3, meeting_subpages=3."
Z9B2Z,West and North London ICB,W&NL ICB,QMJ;QRV,2026-04-01,London,,https://www.westandnorthlondon.icb.nhs.uk/how-we-are-run/meetings/w-plus-nl-board-meetings,https://www.westandnorthlondon.icb.nhs.uk,,,"Formed 1 April 2026 from merger of North Central London (QMJ, nclhealthandcare.org.uk) and North West London (QRV, nwlondonicb.nhs.uk). Predecessor sites still host historical 'Boards in Common' packs from late 2025/early 2026.",Landing ('NHS West and North London Board of Members') lists dated 2026/2027 meetings; each meeting links to papers in a JS document library (/policies-and-publications/navigate/479/2410#document-library-2410). Static fetch sees the link but the library renders client-side; needs Playwright. Ignore NCL/NWL legacy-archive links (predecessor orgs).,True,West and North London Board of Members;Papers available here;navigate/479/2410 document library,legacy NCL/NWL archive links (predecessor orgs);future meetings with no papers yet,2026-06-20,papers_found,'Board of Members' lists dated 2026/2027 meetings; current meeting's papers sit in a JS document library (false-positive 'no papers visible'). Needs Playwright.
QRL,Hampshire and Isle of Wight ICB,HIOW ICB,,,South East,,https://www.hantsiow.icb.nhs.uk/icb/integrated-care-board-meetings/,https://www.hantsiow.icb.nhs.uk,,,Boundary expanded 1 April 2026 to receive LSOAs transferred from former Frimley ICB (QNQ); ODS code unchanged,"Pattern C: the integrated-care-board-meetings landing is static HTML listing dated ICB Board meetings, each linking to a per-meeting sub-page of the form /icb/integrated-care-board-meetings/navigate/23515/<id>. Each per-meeting page does NOT offer a single combined pack; instead it lists numbered individual paper PDFs (Paper 0 Agenda, Paper 2a Minutes, Paper 4 Chair report, Paper 5 CEO report, Paper 6 BAF, etc.), each downloaded via /download_file/<file-id>/452. To assemble a full pack a crawler must follow each meeting page and fetch all Paper N download_file links (the agenda is 'Paper 0 - Public Agenda'). The /navigate/23515/ branch is the ICB Board; skip other committee/ICP listings.",False,/icb/integrated-care-board-meetings/navigate/23515/<id> per-meeting page;/download_file/<file-id>/452 for each numbered paper PDF;agenda = 'Paper 0 - Public Agenda'; collect all Paper N PDFs (no combined pack),ICP;Integrated Care Partnership;Committee;Confidential;Private,2026-06-04,papers_found,Per-meeting page for 5 November 2025 confirmed listing ~19 individual numbered paper PDFs via /download_file/ links; no single combined pack is published.
QKS,Kent and Medway ICB,,,,South East,,https://www.kentandmedway.icb.nhs.uk/events-calender,https://www.kentandmedway.icb.nhs.uk,,,ICB website board pack links have historically been broken; mirrors sometimes available via shepwayvox.org,"Strategy: landing lists per-meeting entries (18 dated meeting links this run); each links to its own sub-page of PDFs (agenda, papers, finance). Filter to the main Board (skip ICP/committee/joint). Prefer the largest 'Agenda and Papers' combined PDF. Static fetch works. Pattern C.",False,Agenda and Papers;Combined Pack;Public Board Pack,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=0, year_archives=0, meeting_subpages=18."
S0E4D,Thames Valley ICB,,QU9;QNQ,2026-04-01,South East,,https://www.thamesvalley.icb.nhs.uk/policies-and-documents/how-we-make-decisions/board-papers/nhs-thames-valley-icb,https://www.thamesvalley.icb.nhs.uk,,,"Formed 1 April 2026 from BOB (Buckinghamshire, Oxfordshire and Berkshire West, QU9, bucksoxonberksw.icb.nhs.uk) plus largest share of former Frimley footprint (QNQ, frimleyhealthandcare.org.uk). Predecessor sites still host historical packs.","Landing directly lists the consolidated board pack PDF ('Thames Valley ICB Board papers {date}', ~2.8MB). One combined pack per meeting rather than many separate PDFs. Crawler reads the single dated pack link. Static fetch works.",False,Thames Valley ICB Board papers [date];single consolidated PDF,policy/how-we-make-decisions sibling docs;committee papers,2026-06-20,papers_found,"Landing directly lists the consolidated board pack PDF (e.g. 20 May 2026, ~2.8MB). 'Thin' because Thames Valley publishes one combined pack per meeting, not broken."
S9B9J,Surrey and Sussex ICB,,QXU;QNX;QNQ,2026-04-01,South East,,https://www.surreysussex.icb.nhs.uk/board-meetings-and-papers/,https://www.surreysussex.icb.nhs.uk,,,"Formed 1 April 2026 from Surrey Heartlands (QXU), Sussex (QNX, sussex.ics.nhs.uk) and the Surrey parts of former Frimley (QNQ). Predecessor sites still host historical packs.","Strategy: dated board-pack PDFs listed directly on the landing page (17 found this run), one per meeting. Static fetch works. Prefer 'Public Board Pack' / 'Board Papers' / 'Agenda and Papers'; filter observer notes, Q&A and addendums. Pattern A.",False,Public Board Pack;Board Papers;Agenda and Papers,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=17, year_archives=0, meeting_subpages=0."
QOX,"Bath and North East Somerset, Swindon and Wiltshire ICB",BSW ICB,,,South West,,https://bsw.icb.nhs.uk/document-category/administration/meeting-agendas-and-papers/icb-meetings-papers/board-meeting-papers-archive/,https://bsw.icb.nhs.uk,BSW-DOR-SOM,,Loose cluster with Dorset (QVV) and Somerset (QSL) under shared chair Rob Whiteman; each has its own board,,,,,,,
QVV,Dorset ICB,,,,South West,,https://nhsdorset.nhs.uk/about/board/,https://nhsdorset.nhs.uk,BSW-DOR-SOM,,Loose cluster with BSW (QOX) and Somerset (QSL); each has its own board,Strategy: landing surfaces board papers directly (mix of dated PDFs and/or year links). Static fetch works. Prefer the main combined board pack; filter observer notes and Q&A. Pattern A/B.,False,Public Board Pack;Board Papers;Agenda and Papers,Observer notes;Q&A;ICP Board;Minutes only;Addendum;Part B;Confidential,2026-05-29,papers_found,"Validator (static) found dated_pdfs=5, year_archives=1, meeting_subpages=0."
QSL,Somerset ICB,,,,South West,,https://nhssomerset.nhs.uk/publications/board-papers/,https://nhssomerset.nhs.uk,BSW-DOR-SOM,,Loose cluster with BSW (QOX) and Dorset (QVV); each has its own board. Some financial decisions taken in confidential Part B.,,,,,,,
